ligne_num,couleur,origine,destination,jours_validite,course_num,heure_ref_depart_ligne,commune,arret,arret_norm,heure_passage,remarque
2,Violette,Le Château-d'Oléron,Saint-Trojan-Les-Bains,Du lundi au dimanche et jours fériés,5,15:15,LE CHÂTEAU-D'OLÉRON,Porte de Dolus - cité Bastion,le chateau d'oleron|porte de dolus cite bastion,15:15,Correspondance navettes bleue et verte
2,Violette,Le Château-d'Oléron,Saint-Trojan-Les-Bains,Du lundi au dimanche et jours fériés,6,16:45,LE CHÂTEAU-D'OLÉRON,Porte de Dolus - cité Bastion,le chateau d'oleron|porte de dolus cite bastion,16:45,Correspondance navettes bleue et verte
2,Violette,Le Château-d'Oléron,Saint-Trojan-Les-Bains,Du lundi au dimanche et jours fériés,7,18:15,LE CHÂTEAU-D'OLÉRON,Porte de Dolus - cité Bastion,le chateau d'oleron|porte de dolus cite bastion,18:15,Correspondance navettes bleue et verte
2,Violette,Le Château-d'Oléron,Saint-Trojan-Les-Bains,Du lundi au dimanche et jours fériés,1,09:15,LE CHÂTEAU-D'OLÉRON,Camping Les Remparts,le chateau d'oleron|camping les remparts,09:16,
2,Violette,Le Château-d'Oléron,Saint-Trojan-Les-Bains,Du lundi au dimanche et jours fériés,2,10:45,LE CHÂTEAU-D'OLÉRON,Camping Les Remparts,le chateau d'oleron|camping les remparts,10:46,
2,Violette,Le Château-d'Oléron,Saint-Trojan-Les-Bains,Du lundi au dimanche et jours fériés,3,12:15,LE CHÂTEAU-D'OLÉRON,Camping Les Remparts,le chateau d'oleron|camping les remparts,12:16,
2,Violette,Le Château-d'Oléron,Saint-Trojan-Les-Bains,Du lundi au dimanche et jours fériés,4,13:45,LE CHÂTEAU-D'OLÉRON,Camping Les Remparts,le chateau d'oleron|camping les remparts,13:46,
2,Violette,Le Château-d'Oléron,Saint-Trojan-Les-Bains,Du lundi au dimanche et jours fériés,5,15:15,LE CHÂTEAU-D'OLÉRON,Camping Les Remparts,le chateau d'oleron|camping les remparts,15:16,
2,Violette,Le Château-d'Oléron,Saint-Trojan-Les-Bains,Du lundi au dimanche et jours fériés,6,16:45,LE CHÂTEAU-D'OLÉRON,Camping Les Remparts,le chateau d'oleron|camping les remparts,16:46,
2,Violette,Le Château-d'Oléron,Saint-Trojan-Les-Bains,Du lundi au dimanche et jours fériés,7,18:15,LE CHÂTEAU-D'OLÉRON,Camping Les Remparts,le chateau d'oleron|camping les remparts,18:16,
2,Violette,Le Château-d'Oléron,Saint-Trojan-Les-Bains,Du lundi au dimanche et jours fériés,1,09:15,LE CHÂTEAU-D'OLÉRON,Aire de camping-cars,le chateau d'oleron|aire de camping cars,09:18,
2,Violette,Le Château-d'Oléron,Saint-Trojan-Les-Bains,Du lundi au dimanche et jours fériés,2,10:45,LE CHÂTEAU-D'OLÉRON,Aire de camping-cars,le chateau d'oleron|aire de camping cars,10:48,
